,Position,TeamAPlayer1,TeamAPlayer2,TeamBPlayer1,TeamBPlayer2,Winner,Loser,Compid,Event Date
1671,2,Caroline Herrera,Taylor Hurst,Danielle Ged,Hailey Lake,Spring Hill College,Lincoln Memorial,1126,20180316
1672,3,Brittany  Bilotti,Sarah Senft,Rylee Storms,Erica Whiteaker,Spring Hill College,Lincoln Memorial,1126,20180316
1673,4,Catherine Milwee,Emily Greim,Beka Wachob,Tone Gill,Spring Hill College,Lincoln Memorial,1126,20180316
1674,5,Emmarose Neibert,Emily Sullivan,Kayla Kidney,Sarah  Jones,Spring Hill College,Lincoln Memorial,1126,20180316
1675,1,Payton Gidney,Julie Vujnovich,Emily Fedonczak,Nichole LeFevre,Spring Hill College,Huntingdon,1127,20180316
1676,2,Caroline Herrera,Taylor Hurst,Bria Rochelle,Alexis Creasman,Spring Hill College,Huntingdon,1127,20180316
1677,3,Brittany  Bilotti,Allison Weimer,Shelby Young,Lexie DeVuyst,Spring Hill College,Huntingdon,1127,20180316
1678,4,Catherine Milwee,Emily Greim,Cheyenne Scarborough,Addison Genard,Spring Hill College,Huntingdon,1127,20180316
1679,5,Emmarose Neibert,Emily Sullivan,Kaitlyn Carter,Amy Tyma,Spring Hill College,Huntingdon,1127,20180316
1680,1,Phina Leilua,Aiko Waters,Andrea  Velasco,Madison Mader,El Camino College,Rio Hondo College ,1128,20180316
1681,2,Jewel Yandall,Sophia Loiola,Sara  Harding,Michelle Rosas,Rio Hondo College ,El Camino College,1128,20180316
1682,3,Sarah  Dyer,Jaylin Motley,Natalie Magallon,Michell Chavez-Valdivia,El Camino College,Rio Hondo College ,1128,20180316
1683,4,Jossie Tomita,Natasha Dutko,Felipa Moreno,Stephanie Garcia,El Camino College,Rio Hondo College ,1128,20180316
1684,5,Kiana Takahashi,Melissa Euyoque,Michelle Hawkins,Bree Newton,El Camino College,Rio Hondo College ,1128,20180316
1685,1,Jessalyn Kinlaw,Gabrielle Dischler,Jessica Wooten,Aeriel Horton,FAU,Houston Baptist,1129,20180316
1686,2,Julia Lewkowicz,Carly Scarborough,Kayla Armer,Tori Hinojosa,FAU,Houston Baptist,1129,20180316
1687,3,Erica Brok,Mackenzie Morris,Bailey Banks,Katya Silveira,FAU,Houston Baptist,1129,20180316
1688,4,Nicole Navarro,Nicole Grant,Jordyn Miller,Meagan Carter,FAU,Houston Baptist,1129,20180316
1689,5,Amanda Silva,Kaila Dorish,Kali Fluke,Brennan Miller,FAU,Houston Baptist,1129,20180316
1690,1,Kayla Owens,Penina Wilder,Jadelyn Forgiarini,Kacey Mathieson,Cypress College,Orange Coast College,1130,20180316
1691,2,Toso Leae,Khamis Berneker,Hannah Del Barto,Sierra Lim,Cypress College,Orange Coast College,1130,20180316
1692,3,Brianna Georgopoulos,Jane Woodward,Rylee Adair,Devyn Holland,Orange Coast College,Cypress College,1130,20180316
1693,4,Jessika Tellez,Marina Pilkington,Molly Thee,Hannah Reid,Cypress College,Orange Coast College,1130,20180316
1694,5,Alicya Siler,Haylee Delgado,Enjelica Glatti,Georgia Grisham,Orange Coast College,Cypress College,1130,20180316
1695,1,Sierra Davis,Josannah Vazquez,Sierra Lujan,Jordon Wilson,Long Beach City College,Mt San Antonio College,1131,20180316
1696,2,Jordan Diaz,Tatyana Tuilaii-Umi,Malia Carr,Shaianne Palos,Long Beach City College,Mt San Antonio College,1131,20180316
1697,3,Brooklyn Mize,Jessica Kaeka,Alysha Tullar,Lauren Quinonez,Long Beach City College,Mt San Antonio College,1131,20180316
1698,4,Isabella Alvarez,Doris Woods,Alyssa Bloomfield,Ashly Velazquez,Long Beach City College,Mt San Antonio College,1131,20180316
1699,5,Mariah Clausen,Elsa Woods,Lindsey Lane,Natalya Fajardo,Long Beach City College,Mt San Antonio College,1131,20180316
1700,1,Sierra Davis,Josannah Vazquez,Jadelyn Forgiarini,Kacey Mathieson,Long Beach City College,Orange Coast College,1132,20180316
1701,2,Tatyana Tuilaii-Umi,Jordan Diaz,Hannah Del Barto,Sierra Lim,Long Beach City College,Orange Coast College,1132,20180316
1702,3,Brooklyn Mize,Jessica Kaeka,Devyn Holland,Rylee Adair,Long Beach City College,Orange Coast College,1132,20180316
1703,4,Isabella Alvarez,Doris Woods,Hannah Reid,Molly Thee,Long Beach City College,Orange Coast College,1132,20180316
1704,5,Mariah Clausen,Elsa Woods,Enjelica Glatti,Georgia Grisham,Long Beach City College,Orange Coast College,1132,20180316
1705,1,Kayla Owens,Penina Wilder,Sierra Lujan,Jordon Wilson,Cypress College,Mt San Antonio College,1133,20180316
1706,2,Toso Leae,Khamis Berneker,Malia Carr,Shaianne Palos,Cypress College,Mt San Antonio College,1133,20180316
1707,3,Brianna Georgopoulos,Jane Woodward,Alysha Tullar,Lauren Quinonez,Cypress College,Mt San Antonio College,1133,20180316
1708,4,Marina Pilkington,Jessika Tellez,Ashly Velazquez,Alyssa Bloomfield,Cypress College,Mt San Antonio College,1133,20180316
1709,5,Alicya Siler,Haylee Delgado,Brianda Valdez,Kierra Coatney,Mt San Antonio College,Cypress College,1133,20180316
1710,1,Sierra Davis,Josannah Vazquez,Kayla Owens,Penina Wilder,Long Beach City College,Cypress College,1134,20180316
1711,2,Tatyana Tuilaii-Umi,Jordan Diaz,Toso Leae,Khamis Berneker,Long Beach City College,Cypress College,1134,20180316
1712,3,Jessica Kaeka,Brooklyn Mize,Jane Woodward,Brianna Georgopoulos,Long Beach City College,Cypress College,1134,20180316
1713,4,Isabella Alvarez,Doris Woods,Jessika Tellez,Marina Pilkington,Long Beach City College,Cypress College,1134,20180316
1714,5,Mariah Clausen,Elsa Woods,Haylee Delgado,Alicya Siler,Long Beach City College,Cypress College,1134,20180316
1715,1,Maddy Kline,Nicole Lott,Aeriel Horton,Jessica Wooten,UNC Wilmington,Houston Baptist,1135,20180316
1716,2,Halle Hunt,JM Lewandowski,Kayla Armer,Tori Hinojosa,UNC Wilmington,Houston Baptist,1135,20180316
1717,3,Sarah Kelly,Raquel Rooney,Katya Silveira,Bailey Banks,UNC Wilmington,Houston Baptist,1135,20180316
1718,4,Katie McCullough,Brynn Montgomery,Meagan Carter,Jordyn Miller,Houston Baptist,UNC Wilmington,1135,20180316
1719,5,Courtney Mullinax,Jaime Thomas,Brennan Miller,Kali Fluke,UNC Wilmington,Houston Baptist,1135,20180316
