,Name,Year,Height,Hometown/HS,Team
12,Madison Cooler,Fr,5'8,"Ridgeland, SC",Jacksonville State
13,Rachel Perucki,So,5'6,"Tomball, Tx",Jacksonville State
14,Sadie Anderson,So,6'0,"Phoenix, Az",Jacksonville State
15,Sam Bogdan,Fr,5'9,"New Port Richey, Fl",Jacksonville State
16,Shayla Schmidt,So,6'0,"Peoria, Az",Jacksonville State
0,Ally Carr,Fr,5'7,"Ontario, Canada",New Orleans
1,Blessings Dunn,Jr,"5'8""","Jacksonville, Ala. / Jacksonville HS",New Orleans
2,Brianna Vega,So,5'10,"San Antonio, Tx",New Orleans
3,Cara Sander,R-Sr,6'0,"Wiesbaden, Germany",New Orleans
4,Jordan Schumacher,Fr,5'9,"Gilbert, Az",New Orleans
5,Kaitlyn Grice,Jr,6'2,"Valrico, Fl",New Orleans
6,Madison Miller,Jr,5'6,"Granbury, Tx",New Orleans
7,Manela Grau,Jr,5'6,"Valencia, Spain",New Orleans
8,Maxine Walsh,Fr,5'11,"Leonia, New Jersey",New Orleans
9,Rachel Kuhn,So,5'6,"El Cajon, Ca",New Orleans
10,Rhyan  Rand,So,"5'7""","Lindale, Texas / Lindale HS",New Orleans
11,Veronica Corcoran,So,5'10,"Closter, Nj",New Orleans
12,Victoria Corcoran,So,5'10,"Closter, Nj",New Orleans
0,Abigail O'Ferrell,Jr,5'11,"Labelle, Fl",Eckerd
1,Arielle Erillo,Jr,5'3,"Lake Worth, Fl",Eckerd
2,Fernanda  Reis,So,5'11,"Rio de Janeiro, Brazil",Eckerd
3,Jordan Duffy,Fr,5'8,"Palm Harbor, Fl",Eckerd
4,Kaitlyn Sibson,Sr,5'8,"Tampa, Fl",Eckerd
5,Kali Boatwright,So,5'10,"Lakeland, Fl",Eckerd
6,Mackenzie Redner,Sr,6'0,"Truckee, Ca",Eckerd
7,Madison  Whiting,Sr,6'0,"Lithia, Fl",Eckerd
8,Paula Hoffman,Fr,5'9,"Rio de Janeiro, Brazil",Eckerd
9,Rachel Cornatzer,Jr,5'10,"Oldsmar, Fl",Eckerd
10,Samantha Bevilacqua,Fr,5'10,"Newfield, N.J.",Eckerd
11,Savanna Cary,Sr,5'9,"Boynton Beach, Fl",Eckerd
12,Stephanie Bogda,Jr,5'7,"Levittown, NY",Eckerd
0,Allison Weimer,Fr,5'10,"Covington, La",Spring Hill College
1,Angela McClain,R-Fr,5'10,"New Orleans, La",Spring Hill College
2,Brittany  Bilotti,So,5'6,"Miami, Fl",Spring Hill College
3,Caroline Herrera,Jr,5'9,"Austin, Tx",Spring Hill College
4,Cassidi Sterrett,R-Fr,5'7,"Lee's Summit, Mo",Spring Hill College
5,Catherine Milwee,Sr,5'6,"Mobile, Al",Spring Hill College
6,Emily Greim,Jr,5'9,"McKinney, Tx",Spring Hill College
7,Emily Sullivan,R-Fr,5'9,"Chicago, Ill",Spring Hill College
8,Emmarose Neibert,So,5'7,"Arnold, Mo",Spring Hill College
9,Julie Vujnovich,Sr,5'9,"Belle Chasse, La",Spring Hill College
10,Katie Beth Gammon,Jr,5'8,"Plano, Tx",Spring Hill College
11,Landen Lake,R-Fr,5'0,"Tuscaloosa, Al",Spring Hill College
12,Mary Keller,Fr,6'0,"Kansas City, Mo",Spring Hill College
13,Morgan Eiland,Jr,6'2,"Mobile, Al",Spring Hill College
14,Paige Pappas,Fr,5'11,"Chicago, Ill",Spring Hill College
15,Patty Blood,So,5'11,"Cincinnati, Oh",Spring Hill College
16,Payton Gidney,So,5'9,"Grapevine, Tx",Spring Hill College
17,Rebecca Moore,Fr,5'6,"Grand Bay, Al",Spring Hill College
18,Ryann Horkavy,Fr,5'11,"Chicago, Ill",Spring Hill College
19,Sarah Senft,So,5'10,"Spring Grove, Pa",Spring Hill College
20,Taylor Hurst,So,5'11,"Gulf Shores, Al",Spring Hill College
0,Abby Struewing,Fr,5'5,"Lebanon, Oh",Carson-Newman
1,Aryana Fazelnia,Fr,5'8,"Weston, Fl",Carson-Newman
2,Catherine Cook,Sr,5'4,"Morristown, Tn",Carson-Newman
3,Gabrielle Bailey,Sr,5'8,"Pompano Beach, Fl",Carson-Newman
4,Grace Seymour,Fr,5'10,"Hudson, Fl",Carson-Newman
5,Kelly Hughes,So,5'8,"Woodbridge, Va",Carson-Newman
6,Lauren Williams,Fr,5'7,"Carrollton, Ga",Carson-Newman
7,Lexi Headley,Fr,5'7,"Sharps Chapel, Tn",Carson-Newman
8,Lexie Acevedo,Fr,5'7,"Newport, Tn",Carson-Newman
9,Micah Depetro,Fr,6'0,"Knoxville, Tn",Carson-Newman
10,Micah Palmer,Fr,5'7,"White Pine, Tn",Carson-Newman
11,Montgomery Sauter,Fr,5'4,"Columbia, S.C.",Carson-Newman
12,Morgan Harlan,Sr,6'2,"Ladera Ranch, Ca",Carson-Newman
13,Summer Coulter,Fr,5'7,"El Paso, Tx",Carson-Newman
0,Aleksandra Djuric,Sr,5'11,"Belgrade, Serbia",Coastal Carolina
1,Aristea Tontai,Fr,6'4,"Athens, Greece",Coastal Carolina
2,Autumn Otto,Jr,5'9,"Carlisle, Pa",Coastal Carolina
3,Carla Cahill,Jr,5'8,"Oak Lawn, Ill",Coastal Carolina
4,Christina Nance,Fr,6'3,"Bowie, Md",Coastal Carolina
5,Dora Lulic,Sr,6'2,"Osijek, Croatia",Coastal Carolina
6,Haylie Beck,Fr,5'7,"Powell, Oh",Coastal Carolina
7,Kalin Eske,Fr,5'8,"Milwaukee, Wi",Coastal Carolina
8,Kaylah House,Fr,6'3,"Atlanta, Ga",Coastal Carolina
9,Kinga Windisch,So,6'2,"Budapest, Hungary",Coastal Carolina
10,Kyla Manning,Fr,6'0,"Atlanta, Ga",Coastal Carolina
11,Leah Hardeman,Sr,5'10,"Clarkston, Ga",Coastal Carolina
12,Sara Boothe,,,,Coastal Carolina
13,Shelby Ladewig,Sr,5'9,"Houston, Tx",Coastal Carolina
14,Sydney Alvis,Jr,5'4,"Maidans, Va",Coastal Carolina
15,Tanner Gauthier,Fr,5'10,"Nokomis, Fl",Coastal Carolina
0,Abigail Devido,Fr,5'9,"Ashburn, Va",Texas A&M; Corpus Christi
1,Chloe Simon,Fr,,"Katy, Tx",Texas A&M; Corpus Christi
2,Demi McInnis,Fr,5'7,"Cypress, Tx",Texas A&M; Corpus Christi
3,Gabriella Johnston,Fr,5'7,"Kerrville, Tx",Texas A&M; Corpus Christi
4,Jenna Krenek,Fr,,"Houston, Tx",Texas A&M; Corpus Christi
5,Kayla Walker,Fr,5'9,"Murrieta, Ca",Texas A&M; Corpus Christi
6,Madi Fitzsimmons,Jr,6'0,"Murphy, Tx",Texas A&M; Corpus Christi
7,Madison Green,Jr,5'8,"Dripping Springs, Tx",Texas A&M; Corpus Christi
8,Maya Daukas,Fr,5'10,"Santa Monica, Ca",Texas A&M; Corpus Christi
9,Naomi Overstreet,Jr,5'11,"Oakland, Ca",Texas A&M; Corpus Christi
10,Olivia  Rook,Jr,5'9,"Arlington, Tx",Texas A&M; Corpus Christi
11,Rachel Young,Fr,,"Frisco, Tx",Texas A&M; Corpus Christi
12,Selina Marolf,Fr,5'11,"Bern, Switzerland",Texas A&M; Corpus Christi
0,Ashtin Olin,Fr,5'11,"Pasco, Wa","Cal State University, Sacramento"
1,Brie Gathright,Jr,5'11,"Vacaville, Ca","Cal State University, Sacramento"
2,Brigitte Murdock,Sr,5'6,"Reno, Nv","Cal State University, Sacramento"
3,Cianna Andrews,Fr,5'10,"Bellflower, Ca","Cal State University, Sacramento"
4,Erin Cochran,Sr,6'3,"Fremont, Ca","Cal State University, Sacramento"
5,Hannah Meadows,Sr,5'7,"Sparks, Nv","Cal State University, Sacramento"
6,Kennedy Kurtz,Sr,5'10,"Tucson, Az","Cal State University, Sacramento"
7,Lana Brown,Sr,6'0,"Redding, Ca","Cal State University, Sacramento"
8,Macey Hayden,Fr,5'11,"Lincoln, Ca","Cal State University, Sacramento"
9,Mikaela Nocetti,Jr,5'11,"Carmichael, Ca","Cal State University, Sacramento"
10,Paige Swinney,So,5'11,"Sugar Land, Tx","Cal State University, Sacramento"
11,Sarah Falk,Fr,6'1,"Longmont, Co","Cal State University, Sacramento"
12,Sarah Davis,So,5'10,"Paradise Valley, Az","Cal State University, Sacramento"
13,Shannon Boyle,Sr,5'11,"Ridgefield, Wa","Cal State University, Sacramento"
14,Skyler Takeda,Jr,5'9,"Vacaville, Ca","Cal State University, Sacramento"
0,Amber Rose,Sr,6'0,"Cypress, Ca",Concordia
1,Asia O'Neil,So,5'7,"Rancho Mirage, Ca",Concordia
2,Avery Keathley,So,,"Watsonville, Ca",Concordia
3,Hailey Gaines,Sr,6'0,"Mission Viejo, Ca",Concordia
4,Jaclyn Brown,,,,Concordia
5,Jessica Diederich,Sr,,"Omaha, Ne",Concordia
6,Julia Denboer,,,,Concordia
7,Kekela Hendrickson,Fr,,,Concordia
8,Kersti Whitney,Sr,,,Concordia
9,Kyra Auten,Sr,6'0,"Northridge, Ca",Concordia
10,Marcela Frazzoni,Sr,5'10,"Santiago, Chile",Concordia
11,Riley Gill,Fr,,"Carlsbad, Ca",Concordia
12,Tristan Self,Sr,5'6,"Helmet, Ca",Concordia
13,Vanessa Bernzen,Fr,,,Concordia
0,Ashley Slay,Sr,5'11,"Nashville, Tn",Austin Peay State
1,Brooke Moore,Fr,5'10,"Louisville, Ky",Austin Peay State
2,Caroline Waite,Fr,5'9,"Knoxville, Tn",Austin Peay State
3,Cecily Gable,Jr,5'10,"Memphis, Tn",Austin Peay State
4,Chloe Stitt,Fr,5'8,"Summitville, Ind",Austin Peay State
5,Claire Darland,Fr,5'10,"Lexington, Ky",Austin Peay State
6,Ginny Gerig,So,5'5,"Towanda, Ill",Austin Peay State
7,Haley Turner,Fr,5'9,"Flagstaff, Az",Austin Peay State
8,Jenna Panning,So,6'1,"Columbus, Oh",Austin Peay State
9,Katelyn Theiss,Fr,5'10,"DeSoto, Mo",Austin Peay State
10,Kaylee Taff,Jr,6'0,"Houston, Tx",Austin Peay State
11,MiMi Arrington,So,5-8,"Yorktown, Ind",Austin Peay State
12,Nina Korfhage,Fr,5'4,"Louisville, Ky",Austin Peay State
0,Hannah Phillips,So,6'1,"Orient, Oh",UT Martin
1,Hayley Gray,Sr,6'0,"Watseka, Ill",UT Martin
2,Jemima Idemudia,Sr,6'2,"Glendale, Az",UT Martin
3,Kelly Lean,Sr,5'9,"Victoria, Australia",UT Martin
4,Macy Catlett,So,5'4,"St. Louis, Mo",UT Martin
5,Macy Reigelsperger,Sr,5'10,"Coldwater, Oh",UT Martin
6,Rachel Noffsinger,Sr,6'0,"Anna, Ohio",UT Martin
7,Sarah Shaw,Jr,5'11,"Collierville, Tn",UT Martin
0,Alyssa Cecil,Jr,5'7,"Cedar Park, Tx",Morehead State
1,Chandler Clark,So,5'9,"Seymour, Ind",Morehead State
2,Danielle McCarson,R-So,5'3,"Lagrange, Ky",Morehead State
3,Jessica  Hall,R-Jr,5'9,"Prestonburg, Ky",Morehead State
4,Jessie Wachtman,R-Jr,6'2,"Pickerington, Oh",Morehead State
5,Jordan Jones,Jr,6'3,"Blythewood, SC",Morehead State
6,Karlee Reynolds,So,6'3,"Plain City, Oh",Morehead State
7,Lauren Rokey,Fr,6'0,"Eureka, Ill",Morehead State
8,Liz Allen,So,5'11,"Stillwell, Kan",Morehead State
9,Maddie Fella,Jr,6'3,"Santa Claus, Ind",Morehead State
10,Olivia Lohmeier,Fr,6'0,"Cincinnati, Oh",Morehead State
11,Rachel Moore,,,,Morehead State
12,Taylor Hodges,Fr,5'8,"Floyds Knobs, In",Morehead State
0,Alejandra Negron,Fr,5'9,"Bayamon, Puerto Rico",CSULA
1,Alma Serna,Sr,6'4,"Mission Viejo, Ca",CSULA
2,Bailey Anderson,Fr,5'8,"Irvine, Ca",CSULA
3,Caitlyn Bato,So,5'2,"Rowland Heights, Ca",CSULA
4,Cynthia Giron,Jr,5'5,"Rancho Cucamonga, Ca",CSULA
5,Daisia LaBrie,Jr,5'11,"Riverside, Ca",CSULA
6,Daisy Portillo,Fr,6'2,"Duarte, Ca",CSULA
7,Daisy Crenshaw,Fr,6'2,"Los Angeles, Ca",CSULA
8,Erianna Williams,Jr,5'10,"Sacramento, Ca",CSULA
9,Janessa Mata,Fr,5'8,"San Diego, Ca",CSULA
10,Jeshmarie Suarez,Fr,5'3,"Bayamon, Puerto Rico",CSULA
11,Karla Santos,Fr,5'8,"Manati, Puerto Rico",CSULA
12,Kelsey Molnar,Sr,5'8,"Monrovia, Ca",CSULA
13,Michelle Boyd,Jr,5'6,"Sylmar, Ca",CSULA
14,Nicole Efseaff,Sr,5'7,"Chico, Ca",CSULA
15,Sifa Faaiu,Sr,5'11,"San Francisco, Ca",CSULA
16,Summer Hansen,Fr,6'2,"Corona, Ca",CSULA
17,Victoria Duarte,Fr,6'2,"Alta Loma, Ca",CSULA
0,Erin Umbel,Fr,5'9,"Helotes, Tx",Texas A&M; Kingsville
1,Gabby Atchley,So,6'0,"Concord, Ca",Texas A&M; Kingsville
2,Haley Hutchinson,Jr,6'1,"Georgetown, Tx",Texas A&M; Kingsville
3,Kadi Shipman,So,5'4,"Georgetown, Tx",Texas A&M; Kingsville
4,Kelby Sprinkles,So,5'10,"Little River, Tx",Texas A&M; Kingsville
5,Kylexus Block,Fr,5'8,"San Antonio, Tx",Texas A&M; Kingsville
6,Kyra Henderson,Sr,5'3,"Carlsbad, Ca",Texas A&M; Kingsville
7,Loren Washington,Jr,,"Round Rock, Tx",Texas A&M; Kingsville
8,Macy Berg,Fr,5'7,"San Antonio, Tx",Texas A&M; Kingsville
9,Madeleine  Sims,Sr,5'10,"Aztec, N.M.",Texas A&M; Kingsville
10,Madison Brabham,Jr,5'10,"Kingwood, Tx",Texas A&M; Kingsville
11,Malee Sowa,So,5'8,"Sealy, Tx",Texas A&M; Kingsville
12,Sarah  Miller,So,5'10,"Long Beach, Ca",Texas A&M; Kingsville
13,Shelby Tate,Fr,5'10,"New Braunfels, Tx",Texas A&M; Kingsville
14,Tenley Housler,Fr,5'10,"Bulverde, Tx",Texas A&M; Kingsville
15,Whitney Walker,Fr,5'9,"Bellingham, Wa",Texas A&M; Kingsville
0,Allie Kemp,Jr,5'4,"Tulsa, Ok",ULM
1,Bailey Smith,Jr,5'10,"Rockwell, Tx",ULM
2,Catherine Griffith,Jr,6'3,"Morrisville, N.C.",ULM
3,Gabby Love,Jr,5'10,"Fort Worth, Tx",ULM
4,Grace Convey,So,5'10,"Brisbane, Australia",ULM
5,Holland Ponthieux,So,5'9,"West Monroe, La",ULM
6,Kayla Gallant,Fr,,"Cambridge, Ontario",ULM
7,Maile Sellers,Fr,,"Oceanside, Ca",ULM
8,McKenna Webster,Fr,,"Longmont, Co",ULM
9,Rebecca Brown,GS,5'7,"Valrico, Fl",ULM
10,Taylor  Meyer,Fr,,"New Orleans, La",ULM
0,Brilee Henson,Fr,5'9,"Bronton, Mo",Missouri Baptist University
1,Caterina Cigarini,So,6'5,"Modena, Italy",Missouri Baptist University
2,Georgia Park,Fr,5'6,"Auckland, New Zealand",Missouri Baptist University
3,Kamden Maas,Jr,5'6,"Carlsbad, Ca",Missouri Baptist University
4,Kelly Wilson,So,6'1,"O'Fallon, Mo",Missouri Baptist University
5,Kristen Williams,Jr,5'10,"Ironton, Mo",Missouri Baptist University
6,Maggie Sorensen,Jr,6'1,"St Louis, Mo",Missouri Baptist University
7,Mallory Moran,Jr,5'11,"St. Louis, Mo",Missouri Baptist University
8,Marion Couraud,Sr,6'1,"Tourrettes sur du Loup, France",Missouri Baptist University
9,Megan Williams,So,5'10,"Ironton, Mo",Missouri Baptist University
10,Natalie Hecht,So,5'5,"St Louis, Mo",Missouri Baptist University
11,Rachel Luebbers,Jr,5'6,"St Louis, Mo",Missouri Baptist University
12,Rachel  Poole,So,5'10,"Marble Hill, Mo",Missouri Baptist University
13,Sam Kurm,,,,Missouri Baptist University
14,Sarah Wilson,Fr,5'6,"Desoto, Mo",Missouri Baptist University
15,Sarah Bolton,So,5'5,"St Louis, Mo",Missouri Baptist University
0,Amanda Burton,Jr,6'0,"Gilbert, Az",Benedictine
1,Anokina Mirzapour,Sr,5'6,"San Jose, Ca",Benedictine
2,Ariah Evans,Jr,6'0,"Phoenix, Az",Benedictine
3,Benesia Rodriguez,So,5'3,"San Antonio, Tx",Benedictine
4,Caitlan Sammons,So,5'7,"Chandler, Az",Benedictine
5,Dani Burke,Jr,5'7,"Kennwick, Wa",Benedictine
6,Destiny Ramirez,So,5'4,"Laveen, Az",Benedictine
7,Hannah Marang,Sr,6'1,"Yakima, Wa",Benedictine
8,Hayden Boucher,Fr,5'2,"Phoenix, Az",Benedictine
9,Jackie Woods,Fr,5'11,"Menifee, Ca",Benedictine
10,Kassandra Renteria,So,5'8,"Tanopah, Az",Benedictine
11,Kat McCullough,Fr,5'7,"Queen Creek, Az",Benedictine
12,Leosha Barker,R-Jr,6'0,"Phoenix, Az",Benedictine
13,Lexi Fetui,Jr,5'8,"Las Vegas, Nv",Benedictine
14,Madison Peters,Sr,5'9,"Avondale, Az",Benedictine
15,Megan Block,Jr,6'0,"Scottsdale, Az",Benedictine
16,Mikayla Flores,R-Fr,5'7,"Florence, Az",Benedictine
17,Mykahla Smith,Fr,5'8,"Mesa, Az",Benedictine
18,Pinkie Ranger,So,5'6,"Phoenix, Az",Benedictine
19,Stephanie Burton,Sr,5'2,"Garden Grove, Ca",Benedictine
20,Sydney Nelson,So,6'0,"Gilbert, Az",Benedictine
21,Taylor Bradley,Jr,5'9,"Maricopa, Az",Benedictine
0,Victoria  Prokic,So,6'1,"Sykesville, Md",Stevenson
1,Annika Schwartz,Sr,5'10,"Damascus, Md",Stevenson
2,Caroline Dangel,So,5'6,"Sykesville, Md",Stevenson
3,Chelsea  Ireland,Jr,5'11,"Huntingtown, Md",Stevenson
4,Darian Hileman,So,5'11,"Bristow, Va",Stevenson
5,Emily Castro,So,5'9,"Whitehall, Pa",Stevenson
6,Jessi Freeman,Fr,5'10,"Virginia Beach, Va",Stevenson
7,Julie Nightwine,So,5'8,"Mechanicsburg, Pa",Stevenson
8,Katie Leftridge,So,5'10,"Felton, Pa",Stevenson
9,Katie McGuire,Sr,5'11,"Cornelius, N.C.",Stevenson
10,Lauren Jan,Jr,5'10,"Bethesda, Md",Stevenson
11,Lauren Weaver,Sr,5'10,"My Airy, Md",Stevenson
12,Lizi Cudal,Fr,5'8,"Carlsbad, Ca",Stevenson
13,Moriah Savage,Jr,5'9,"Owings Mill, Md",Stevenson
14,Rysleigh Reeves,Fr,5'9,"Williamsburg, Va",Stevenson
15,Sarah Riggin,Fr,5'4,"Sykesville, Md",Stevenson
16,Sarah Manderson,Fr,6'0,"Davidsonville, Md",Stevenson
17,Trang Christensen,So,5'6,"Mullica Hill, N.J.",Stevenson
0,Alexia Jeangrand,Fr,,"North Vancouver, Canada",Principia
1,Amanda Roberts,So,,"Alton, Ill",Principia
2,Anna Webster,So,,"St Louis, Mo",Principia
3,Cha Cha Fisher,Sr,,"Santa Barbara, Ca",Principia
4,Devon Marunde,So,,"Mchenry, Ill",Principia
5,Emelie Frederikson,GS,,"St Louis, Mo",Principia
6,Emma Herman,Sr,,"Walnut Creek, Ca",Principia
7,Jessica Bayne,Fr,,"Tequesta, Fl",Principia
8,Leigh Weathers,Jr,,"Ballwin, Mo",Principia
9,Libby Lewis,So,,"Chesterfield, Mo",Principia
10,Makena Patterson,Jr,,"St Louis, Mo",Principia
11,Mesa Goebel,So,,"Custer, S.D.",Principia
12,Nikki Matters,So,,"Mount Prospect, Ill",Principia
13,Sarah Ungerleider,Fr,,"Cherry Hill, N.J.",Principia
14,Victoria Vandiver,So,,"St Louis, Mo",Principia
0,Alexandra Gonzalez,Fr,5'7,"Miami, Fl",Warner
1,Anna Baker,So,5'11,"Glen Ridge, NJ",Warner
2,Ashley Kube,So,5'8,"Merritt Island, Fl",Warner
3,Becca Bowlin,So,5'9,"Peoria, Ill",Warner
4,Chelsea Forbes,Fr,5'7,"Jacksonville, Fl",Warner
5,Cheyenne Miller,So,5'11,"Sarasota, Fl",Warner
6,Keana Smalls,Jr,5'9,"Layton, Utah",Warner
7,Madison Kleinmeier,Fr,5'9,"Dunedin, Fl",Warner
8,Marissa Intoppa,Sr,5'8,"Lake Worth, Fl",Warner
9,Shelby McCulley,Fr,5'8,"Orlando, Fl",Warner
10,Sydney Ackermann,Fr,5'11,"Sanford, Fl",Warner
11,Vanessa Boitnott,Jr,5'10,"West Palm Beach, Fl",Warner
0,Abby Cash,GS,5'10,"New Carlisle, Oh",Lincoln Memorial
1,Alicia Kessler,Fr,6'2,"Jackson Center, Oh",Lincoln Memorial
2,Beka Wachob,So,5'8,"Milton, Fl",Lincoln Memorial
3,Danielle Ged,Jr,5'10,"Smyrna, Tn",Lincoln Memorial
4,Danielle Stachura,R-So,5'7,"Pleasant Prairie, Wi",Lincoln Memorial
5,Erica Whiteaker,Jr,5'3,"Kingston Springs, Tn",Lincoln Memorial
6,Hailey Lake,Fr,5'4,"New Port Richey, Fl",Lincoln Memorial
7,Kai Wesemann,Jr,5'10,"Pleasant Hill, Mo",Lincoln Memorial
8,Kayla Kidney,Sr,5'9,"Chandler, Az",Lincoln Memorial
9,Lindsey Nartker,So,5'10,"New Carlisle, Oh",Lincoln Memorial
10,Olivia Brock,Fr,5'10,"Lima, Oh",Lincoln Memorial
11,Rylee Storms,R-So,6'0,"Grand Rapids, Mi",Lincoln Memorial
12,Sarah  Jones,Fr,5'4,"Murfreesboro, Tn",Lincoln Memorial
13,Shyanne Tallman,Fr,5'5,"Camp Lejeune, NC",Lincoln Memorial
14,Sidney Killingsworth,Fr,6'2,"Chattanooga, Tn",Lincoln Memorial
15,Tone Gill,R-Jr,5'9,"Nashville, Tn",Lincoln Memorial
0,Amber Lake,So,5'9,"New Port Richey, Fl",Webber
1,Carlee Baxter,So,5'6,"Daytona Beach, Fl",Webber
2,Emily Bowen,Fr,5'10,"Olathe, Ks",Webber
3,Hannah Tannone,So,5'6,"West Palm, Fl",Webber
4,Jessica Terry,Fr,5'8,"Phoenix, Az",Webber
5,Jordan McIntyre,So,5'7,"Spring Hill, Fl",Webber
6,Kaxandra Naranjo,Sr,5'7,"Phoenix, Az",Webber
7,Kobi Allston,Fr,5'8,"San Leandro, Ca",Webber
8,Laura Embry,So,5'9,"Warburton, Australia",Webber
9,Molly Fusarelli,Fr,5'8,"Orange, Conn",Webber
10,Salla Rautiainen,Fr,5'10,Finland,Webber
11,Teryn Mills,Jr,5'2,"Parker, Co",Webber
0,Addison Genard,Fr,,"Mobile, Al",Huntingdon
1,Alex Hillman,Jr,5'4,"Muscle Shoals, Al",Huntingdon
2,Alexis Creasman,So,5'9,"Mary Esther, Fl",Huntingdon
3,Amy Tyma,Fr,,"Cleveland, Oh",Huntingdon
4,April Reese,So,,"Starkville, Ms",Huntingdon
5,Bria Rochelle,Sr,5'6,"Mobile, Al",Huntingdon
6,Cheyenne Scarborough,Fr,,"Virginia Beach, Va",Huntingdon
7,Emily Fedonczak,Fr,,"Niceville, Fl",Huntingdon
8,Jessica Brunk,Fr,,"Prattville, Al",Huntingdon
9,Kaitlyn Carter,Jr,5'8,"Enterprise, Ga",Huntingdon
10,Lexie DeVuyst,So,5'8,"Blountstown, Fl",Huntingdon
11,Margaret Rhodes,Fr,,"Montgomery, Al",Huntingdon
12,Nichole LeFevre,Jr,,"Crestview, Fl",Huntingdon
13,Shelby McAllister,Fr,,"Franklin, Tn",Huntingdon
14,Shelby Young,So,5'8,"Niceville, Fl",Huntingdon
0,Alyssa Doucette,Fr,6'0,"Eagan, Mn",Missouri State
1,Ashley Ophoven,Jr,6'1,"Ozark, Mo",Missouri State
2,Aubrey Cheffey,So,6'2,"Nixa, Mo",Missouri State
3,Caroline Finnell,Sr,6'1,"Chesterfield, Mo",Missouri State
4,Ivy Reynolds,GS,5'11,"Ozark, Mo",Missouri State
5,Julia Hanson,So,6'0,"Fort Atkinson, Wis",Missouri State
6,Kelsey Larsen,So,5'9,"Springfield, Mo",Missouri State
7,Keylee Hawkins,Jr,5'9,"Nixa, Mo",Missouri State
8,Lynsey Wright,Sr,6'0,"Glen Carbon, Ill",Missouri State
9,Maddie Beck,Fr,5'9,"Hot Springs, Ark",Missouri State
10,Mikaela Mosquera,Jr,6'1,"West Chicago, Ill",Missouri State
11,Sam Brinkmann,Fr,5'8,"St Louis, Mo",Missouri State
12,Sarah Demmer,Sr,6'0,"Lee's Summit, Mo",Missouri State
13,Sydney Wright,So,5'8,"Glen Carbon, Ill",Missouri State
14,Taylor Fricano,GS,6'4,"Palatine, Ill",Missouri State
15,Veronica Snelling,Fr,5'10,"Glen Ellyn, Ill",Missouri State
0,Alyssa Doucette,Fr,6'0,"Eagan, Mn",Irvine Valley College
1,Ashley Ophoven,Jr,6'1,"Ozark, Mo",Irvine Valley College
2,Aubrey Cheffey,So,6'2,"Nixa, Mo",Irvine Valley College
3,Caroline Finnell,Sr,6'1,"Chesterfield, Mo",Irvine Valley College
4,Ivy Reynolds,GS,5'11,"Ozark, Mo",Irvine Valley College
5,Julia Hanson,So,6'0,"Fort Atkinson, Wis",Irvine Valley College
6,Kelsey Larsen,So,5'9,"Springfield, Mo",Irvine Valley College
7,Keylee Hawkins,Jr,5'9,"Nixa, Mo",Irvine Valley College
8,Lynsey Wright,Sr,6'0,"Glen Carbon, Ill",Irvine Valley College
9,Maddie Beck,Fr,5'9,"Hot Springs, Ark",Irvine Valley College
10,Mikaela Mosquera,Jr,6'1,"West Chicago, Ill",Irvine Valley College
11,Sam Brinkmann,Fr,5'8,"St Louis, Mo",Irvine Valley College
12,Sarah Demmer,Sr,6'0,"Lee's Summit, Mo",Irvine Valley College
13,Sydney Wright,So,5'8,"Glen Carbon, Ill",Irvine Valley College
14,Taylor Fricano,GS,6'4,"Palatine, Ill",Irvine Valley College
15,Veronica Snelling,Fr,5'10,"Glen Ellyn, Ill",Irvine Valley College
0,Angela Docena,Fr,5'2,Escondido HS,Mira Costa College
1,Bella  Gama,Fr,5'8,Ridgefield HS,Mira Costa College
2,Celin Macdonald,Fr,6'2,Maple Mountain HS,Mira Costa College
3,Chloe Tripp,So,6'0,McKinleyville HS,Mira Costa College
4,Claire Kinder,So,5'10,Arcata HS,Mira Costa College
5,Claudia Mathews,So,5'11,La Costa Canyon HS,Mira Costa College
6,Halie Hess,Fr,5'9,Roseville HS,Mira Costa College
7,Hayley Huntsman,So,5'11,Bonanza HS,Mira Costa College
8,Jazleigh Ortiz,So,5'8,Imperial HS,Mira Costa College
9,Kacy Hele,R-Fr,5'8,Granite Hills HS,Mira Costa College
10,Lana Salzar,So,5'7,Española Valley HS,Mira Costa College
11,Madison Merkow,Fr,5'8,Chaparral HS,Mira Costa College
12,Madison Anderson,Fr,6'1,Ralston Valley HS,Mira Costa College
13,Michelle Mason,Fr,5'6,Wood River HS,Mira Costa College
14,Reilly Bosworth,So,6'1,San Pasqual HS,Mira Costa College
15,Savannah Castellanos,Fr,5'6,Torrey Pines HS,Mira Costa College
16,Violeti Faleumu,So,6'0,Vista HS,Mira Costa College
0,Angela Docena,Fr,5'2,Escondido HS,Victor Valley College
1,Bella  Gama,Fr,5'8,Ridgefield HS,Victor Valley College
2,Celin Macdonald,Fr,6'2,Maple Mountain HS,Victor Valley College
3,Chloe Tripp,So,6'0,McKinleyville HS,Victor Valley College
4,Claire Kinder,So,5'10,Arcata HS,Victor Valley College
5,Claudia Mathews,So,5'11,La Costa Canyon HS,Victor Valley College
6,Halie Hess,Fr,5'9,Roseville HS,Victor Valley College
7,Hayley Huntsman,So,5'11,Bonanza HS,Victor Valley College
8,Jazleigh Ortiz,So,5'8,Imperial HS,Victor Valley College
