,Name,Year,Height,Hometown/HS,Team,mu,sigma
189,Savannah Wininger,Fr,5'9,"Baton Rouge, La",LSU,25.0,8.33333333333
190,Tatum Ballard,Fr,5'8,"Mandeville, La",LSU,31.2894817935,7.18601629892
191,Taylor Bradley,So,5'9,"Round Rock, Tx",LSU,29.6731652822,7.30877596634
192,AJ Baumann,Jr,5'7,"Roswell, Ga",South Carolina,25.0,8.33333333333
193,Ali Denney,So,5'6,"Jupiter,Fl",South Carolina,31.3769806746,2.6415471112
194,Aubrey Ezell,R-So,5'8,"Granbury, Tx",South Carolina,23.4075777108,5.62419967678
195,Avery Davis,Fr,5'8,"New Burn, N.C.",South Carolina,26.1809715303,6.16816711186
196,Cadie Bates,GS,6'2,"Temecula, Ca",South Carolina,28.6378618342,2.99015301923
197,Carly Schneider,So,5'10,"Cincinnati, Oh",South Carolina,28.7151170319,2.72853088137
198,Caroline Skaff,So,5'11,"Haymarket, Va",South Carolina,26.7325975286,4.90727638057
199,Delaney Wood,Jr,6'0,"Westlake, Tx",South Carolina,25.0,8.33333333333
200,Franky Harrison,So,5'10,"Knoxville, Tn",South Carolina,25.4639268301,3.84894100468
201,Hannah Sorensen,GS,6'0,"Wilmington, N.C.",South Carolina,22.1822568177,7.76222635378
202,Hannah Edelman,So,5'5,"Hilton Head Island, S.C.",South Carolina,30.75683672,4.92181265208
203,Jess Vastine,Fr,6'1,"Wittman, Az",South Carolina,20.0036652482,3.66301165792
204,Julia Mannisto,Sr,5'11,"Westlake Village, Ca",South Carolina,28.3633061167,2.7563569458
205,Katie Smith,So,5'9,"West Chester, Oh",South Carolina,33.9910397125,2.97963839007
206,Kennedy Copeland,Fr,5'10,"Newbury Park, Ca",South Carolina,25.0,8.33333333333
207,Leah Perri,GS,6'0,"Richland, Mi",South Carolina,32.5963069144,2.75178268375
208,Louise Kooiman,Fr,5'9,"Fullerton, Ca",South Carolina,25.0,8.33333333333
209,Lydia Dimke,GS,6'3,"Ham Lake, Mn",South Carolina,25.8699359456,5.11788141372
210,Macie Tendrich,Sr,5'3,"Boynton Beach, Fl",South Carolina,32.5963069144,2.75178268375
211,Quinn Fulton,Fr,5'8,"Calabasas, Ca",South Carolina,25.0,8.33333333333
212,Sarah Nacouzi,So,5'10,"Raleigh, N.C.",South Carolina,25.0,8.33333333333
213,Shannon Williams,Jr,5'10,"Ashburn, Va",South Carolina,31.3769806746,2.6415471112
214,Brooke Burling,So,5'10,"Naperville, Ill",Arizona,31.264815791,2.85820186387
215,Candice Denny,Fr,6'2,"Saratoga, Ca",Arizona,31.9759344832,6.934185856
216,Caroline Cordes,R-Fr,5'11,"Naperville, Ill",Arizona,29.7475145285,3.71999213651
217,Chelsey Harris,Sr,6'0,"Houston, Tx",Arizona,25.0,8.33333333333
218,Hailey Devlin,Sr,6'2,"San Diego, Ca",Arizona,29.0822031365,2.87159377675
219,Jaclyn Inclan,Fr,5'10,"Tucson, Az",Arizona,25.0,8.33333333333
220,Jonny Baham,Fr,5'6,"Carlsbad, Ca",Arizona,35.4213583456,2.89216987497
221,Jordan Abalos,R-Jr,5'10,"Safford, Az",Arizona,25.0,8.33333333333
222,Kacey Nady,R-Sr,6'2,"San Diego, Ca",Arizona,26.3253409512,2.92379743564
223,Makenna Martin,R-Fr,5'9,"Gilbert, Az",Arizona,30.149502054,3.01948364683
224,Mia Mason,Jr,5'11,"Manhattan Beach, Ca",Arizona,26.4609757362,3.99817219244
225,Natalie Anselmo,So,5'6,"Los Angeles, Ca",Arizona,30.3319356828,2.86928228976
226,Olivia Hallaran,So,5'9,"Mesa, Az",Arizona,25.5392761753,3.20247217167
227,Olivia Macdonald,Sr,6'0,"Piopio, New Zeland",Arizona,30.3319356828,2.86928228976
228,Sara Watanabe,R-So,5'9,"Honolulu, Hi",Arizona,19.4326043862,5.85420298302
229,Stephany Purdue,Sr,5'11,"Mesa, Az",Arizona,29.7488350614,2.93523727579
230,Bailey Anderson,Fr,,"Las Vegas, Nv",ASU,14.5301567457,5.94763551427
231,Cassidy Schilling,Fr,,"Moorpark, Ca",ASU,25.0,8.33333333333
232,Cierra Flood,Fr,,"Phoenix, Az",ASU,25.1574138483,2.99189093279
233,Ellyson Lundberg,So,5'11,"Larkspur, Ca",ASU,29.8337400451,3.1963325576
234,Frances Giedraitis,Sr,5'9,"Tucson, Az",ASU,20.942643726,4.44554345863
235,Halle Parker,Fr,,"Bakersfield, Ca",ASU,20.5798532625,6.67051787265
236,Jourdan Parnell,Jr,5'8,"San Diego, Ca",ASU,25.6233809091,8.04152243552
237,Kara  Woodard,So,5'11,"Phoenix, Az",ASU,21.4858736716,4.71078168304
238,Kate  Baldwin,Fr,,"Lakewood, Ca",ASU,29.1150858681,3.05088341661
239,Katelyn Carballo,So,5'9,"Laguna Beach, Ca",ASU,27.427978474,3.13052863709
240,Katie Cross,Jr,5'11,"Flagstaff, Az",ASU,24.9787587574,3.0044726214
241,Kwyn Johnson,R-Sr,6'3,"Kalispell, Mont",ASU,21.8981231814,3.56953688175
242,Mia Rivera,Sr,5'8,"Gilbert, Az",ASU,21.2465706609,3.52942599824
243,Natalie Braun,Jr,5'7,"Phoenix, Az",ASU,18.0975532238,4.4436344551
244,Samantha Plaster,Fr,,"Flower Mound, Tx",ASU,29.7201197494,3.09353608394
245,Sierra Ellett,Fr,,"Scottsdale, Az",ASU,21.5662288788,7.40750792159
246,Sydney Palmer,Sr,5'7,"Yorba Linda, Ca",ASU,19.6801493147,4.66386420354
247,Anna Unnasch,So,5'9,"San Diego, Ca",Grand Canyon,25.858461624,7.99592961266
248,Bella Baumann,Fr,5'11,"Wheaton, Il",Grand Canyon,24.7072893676,3.43262670977
249,Emily Reinking,Sr,5'7,"Huntington Beach, Ca",Grand Canyon,27.691542827,3.65316540636
250,Hannah Towne,So,5'11,"Rochester, Ind",Grand Canyon,31.1482059641,3.04305666738
251,Jamie  Walsh,Jr,6'0,"Shell Beach, Ca",Grand Canyon,30.5504401386,3.18651207081
252,Jessica Clark,So,5'7,"Monroe, Wa",Grand Canyon,30.1953983995,3.13487163509
253,Jessica Stansfield,So,5'6,"Wall, N.J.",Grand Canyon,25.0357406644,3.53804810639
254,Jordyn Sanchez,R-Sr,5'9,"Huntington Beach, Ca",Grand Canyon,25.0,8.33333333333
255,Katie Sarber,Fr,5'9,"Dade City, Fl",Grand Canyon,30.0452519205,4.99477286549
256,Katie Pyles,GS,5'9,"Littleton, Co",Grand Canyon,25.7017297196,3.11443691104
257,Kelli Iverson,Sr,5'11,"San Marcos, Ca",Grand Canyon,21.8116152773,4.55719423973
258,Kiersten Varga,Fr,5'9,"Bradenton, Fl",Grand Canyon,25.0,8.33333333333
259,Madi Relaz,Fr,5'10,"Redondo Beach, Ca",Grand Canyon,23.6551131783,3.7800571991
260,Maggie Demore,Jr,5'7,"Phoenix, Az",Grand Canyon,25.0,8.33333333333
261,Micaela Mirabal,So,5'9,"Austin, Tx",Grand Canyon,25.0,8.33333333333
262,Michaela Reese,So,6'0,"Lancaster, Ca",Grand Canyon,25.0,8.33333333333
263,Molly Turner,Sr,5'8,"Naperville, Ill",Grand Canyon,26.5663654832,3.04636740533
264,Natalie Honzovicova,Fr,5'10,"Prague, Czech Republic",Grand Canyon,23.7039319551,5.22629951103
265,Olivia Unnasch,So,5'9,"San Diego, Ca",Grand Canyon,25.0,8.33333333333
266,Renee Mussler,Fr,5'8,"Clearwater, Fl",Grand Canyon,25.0,8.33333333333
267,Taylor Jarzombek,Fr,5'4,"Austin, Tx",Grand Canyon,26.1110038435,3.49529983038
268,Teagan DeFalco,Fr,,"Long Beach, Ca",Grand Canyon,25.0,8.33333333333
269,Alex Hojnar,Sr,5'9,"Western Springs, Ill",Oregon,25.0,8.33333333333
270,August Raskie,Jr,6'0,"Colorado Springs, Co",Oregon,14.0628164413,5.94826785949
271,Brooke Van Sickle,So,5'9,"Battle Ground, Wa",Oregon,25.0,8.33333333333
272,Jolie Rasmussen,So,6'2,"Encinitas, Ca",Oregon,25.0,8.33333333333
273,Josie Cole,Fr,5'10,"Lafayette, Ca",Oregon,15.748045811,4.86312684026
274,Kyra Hanawahine,Fr,5'2,"Honolulu, Hi",Oregon,20.2882214892,5.0689926221
275,Lauren  Page,Jr,6'0,"Riverside, Ca",Oregon,13.3070243939,5.48727033123
276,Lindsey Vander Weide,Jr,6'3,"Turlock, Ca",Oregon,16.2118944904,6.03722861373
277,Maggie Scott,Sr,5'10,"Wildwood, Mo",Oregon,17.5383429064,4.98280152128
278,Marine Hall-Poirier,Sr,5'11,"Portola Valley, Ca",Oregon,20.2882214892,5.0689926221
279,Ronika Stone,So,6'2,"San Jose, Ca",Oregon,17.5383429064,4.98280152128
280,Sumeet Gill,Jr,6'3,"Elk Grove, Ca",Oregon,25.0,8.33333333333
281,Taylor Agost,Sr,6'2,"Happy Valley, Ore",Oregon,18.0910099212,4.90760290772
282,Willow Johnson,So,6'2,"Paradise Valley, Az",Oregon,25.0,8.33333333333
283,Anna Crabtree,Sr,5'9,"Bellevue, Wa",Washington,30.4817867457,3.08074727855
284,Avie Niece,So,6'0,"Bellevue, Wa",Washington,25.0,8.33333333333
285,Cailin Onosko,R-Fr,5'6,"San Diego, Ca",Washington,25.0,8.33333333333
286,Carly Dehoog,Sr,6'4,"Ontario, Ca",Washington,33.5359897064,2.85597206909
287,Chloe Newton,Fr,,,Washington,25.7480704059,6.7100392577
288,Courtney Schwan,Sr,6'1,"Auburn, Wash",Washington,30.2146352155,2.96603574584
289,Crissy Jones,Sr,6'2,"Los Alamitos, Ca",Washington,25.0,8.33333333333
