,Position,TeamAPlayer1,TeamAPlayer2,TeamBPlayer1,TeamBPlayer2,Winner,Loser,Compid,Event Date
810,4,Jossie Tomita,Natasha Dutko,Samaria Longstreet,Kristine Perez,El Camino College,Fullerton College,810,20180223
810,5,Kiana Takahashi,Melissa Euyoque,Kendall Campos,Nakitta Masoe,El Camino College,Fullerton College,810,20180223
811,1,Kacey Mathieson,Jadelyn Forgiarini,Ashtyn Lyneis,Nicole Svoboda,Orange Coast College,College of the Desert,811,20180223
811,2,Sierra Lim,Hannah Del Barto,Baylie Dashner,Brooke Topliff,Orange Coast College,College of the Desert,811,20180223
811,3,Rylee Adair,Devyn Holland,Marisol Ruiz,Alysha Garcia,Orange Coast College,College of the Desert,811,20180223
811,4,Molly Thee,Hannah Reid,Emily Sundback,Naomi Garcia,Orange Coast College,College of the Desert,811,20180223
811,5,Georgia Grisham,Enjelica Glatti,Aaliyah Charley,Ashley Schwartz,Orange Coast College,College of the Desert,811,20180223
812,1,Natalie Escher,Brittney Diffine,Ashtyn Lyneis,Nicole Svoboda,Riverside City College,College of the Desert,812,20180223
812,2,Julia Balancier,Marcella Rodriguez,Baylie Dashner,Brooke Topliff,Riverside City College,College of the Desert,812,20180223
812,3,Roni Lopez,Madison Bogh,Marisol Ruiz,Alysha Garcia,College of the Desert,Riverside City College,812,20180223
812,4,Lauren Dunmore,Delaney Beck,Naomi Garcia,Emily Sundback,Riverside City College,College of the Desert,812,20180223
812,5,Telanni Childs,Taylor Gardner,Aaliyah Charley,Ashley Schwartz,Riverside City College,College of the Desert,812,20180223
813,1,Kacey Mathieson,Jadelyn Forgiarini,Marcella Rodriguez,Brittney Diffine,Orange Coast College,Riverside City College,813,20180223
813,2,Hannah Del Barto,Sierra Lim,Natalie Escher,Julia Balancier,Orange Coast College,Riverside City College,813,20180223
813,3,Devyn Holland,Rylee Adair,Lauren Dunmore,Madison Bogh,Orange Coast College,Riverside City College,813,20180223
813,4,Hannah Reid,Molly Thee,Roni Lopez,Delaney Beck,Orange Coast College,Riverside City College,813,20180223
813,5,Enjelica Glatti,Georgia Grisham,Patricia Brucks,Rozarya Barrett,Orange Coast College,Riverside City College,813,20180223
814,1,Milla Anderson,Sarah Connell,Toso Leae,Khamis Berneker,San Diego Mesa College,Cypress College,814,20180223
814,2,Melissa Pittelkau,Devon Lee,Kayla Owens,Penina Wilder,San Diego Mesa College,Cypress College,814,20180223
814,3,Lizette Moore-Teague,Kylie Cassicippo,Jane Woodward,Brianna Georgopoulos,San Diego Mesa College,Cypress College,814,20180223
814,4,Robyn Brooks,Alina Snyder,Marina Pilkington,Jessika Tellez,San Diego Mesa College,Cypress College,814,20180223
814,5,Sabrina Calcutt,Tiarah Tucker,Alicya Siler,Arianna Ugaitafa,San Diego Mesa College,Cypress College,814,20180223
815,1,Milla Anderson,Sarah Connell,Malia Carr,Shaianne Palos,San Diego Mesa College,Mt San Antonio College,815,20180223
815,2,Melissa Pittelkau,Devon Lee,Sierra Lujan,Jordon Wilson,San Diego Mesa College,Mt San Antonio College,815,20180223
815,3,Lizette Moore-Teague,Kylie Cassicippo,Lauren Quinonez,Alysha Tullar,San Diego Mesa College,Mt San Antonio College,815,20180223
815,4,Robyn Brooks,Alina Snyder,Alyssa Bloomfield,Ashly Velazquez,San Diego Mesa College,Mt San Antonio College,815,20180223
815,5,Sabrina Calcutt,Tiarah Tucker,Kierra Coatney,Brianda Valdez,San Diego Mesa College,Mt San Antonio College,815,20180223
816,1,Kristen Nuss,Claire Coppola,Torrey Van Winden,Tia Miric,LSU,Cal Poly SLO,816,20180223
816,2,Mandi Orellana,Haleigh Nelson,Sam Manley,Emily Sonny,Cal Poly SLO,LSU,816,20180223
816,3,Olivia Powers,Maddie Ligon,Hannah Hubbard,Raeann Greisen,Cal Poly SLO,LSU,816,20180223
816,4,Emmy Allen,Megan Davenport,Adlee Van Winden,Macy Gordon,LSU,Cal Poly SLO,816,20180223
816,5,Gina Tillis,Emily Hardesty,Brayden Gruenewald,Dora Beilin,LSU,Cal Poly SLO,816,20180223
817,1,Claire Coppola,Kristen Nuss,Molly Turner,Katie Pyles,LSU,Grand Canyon,817,20180223
817,2,Haleigh Nelson,Hunter Domanski,Hannah Towne,Jessica Stansfield,Grand Canyon,LSU,817,20180223
817,3,Maddie Ligon,Olivia Powers,Bella Baumann,Taylor Jarzombek,LSU,Grand Canyon,817,20180223
817,4,Emmy Allen,Megan Davenport,Natalie Honzovicova,Madi Relaz,LSU,Grand Canyon,817,20180223
817,5,Gina Tillis,Emily Hardesty,Jessica Clark,Katie Sarber,Grand Canyon,LSU,817,20180223
818,1,Torrey Van Winden,Tia Miric,Madalyn Roh,Brook Bauer,Cal Poly SLO,Pepperdine,818,20180223
818,2,Sam Manley,Emily Sonny,Corinne Quiggle,Deahna Kraft,Cal Poly SLO,Pepperdine,818,20180223
818,3,Hannah Hubbard,Raeann Greisen,Gigi Hernandez,Heidi Dyer,Pepperdine,Cal Poly SLO,818,20180223
818,4,Adlee Van Winden,Brayden Gruenewald,Alexis Filippone,Skylar Caputo,Pepperdine,Cal Poly SLO,818,20180223
818,5,Macy Gordon,Heather Pembroke,Jordan Ferrari,Maddie Dilfer,Cal Poly SLO,Pepperdine,818,20180223
819,1,Sierra Davis,Josannah Vazquez,Janessa Simental,Braxton Jessie,Long Beach City College,Ventura College,819,20180223
819,2,Jordan Diaz,Tatyana Tuilaii-Umi,Kasie Spencer,Armonee Hunter,Ventura College,Long Beach City College,819,20180223
819,3,Isabella Alvarez,Doris Woods,Taylor Benitez-Fanslow,Shea McKeown,Long Beach City College,Ventura College,819,20180223
