,Position,TeamAPlayer1,TeamAPlayer2,TeamBPlayer1,TeamBPlayer2,Winner,Loser,Compid,Event Date
170,1,Nandyala Gama,Lyndi Scholl,Jacey Smith,Kendall Bosse,San Jose State University,Abilene Christian,848,20180224
171,2,Ciara Reistad,Julia Golbeck,Lauren Walker,Brooke Riley,San Jose State University,Abilene Christian,848,20180224
172,3,Jamie Hirai,Hayley Sturgeon,Lexie Rawls,Katelyn Mueller,San Jose State University,Abilene Christian,848,20180224
173,4,Thaliana Grajeda,Luiza Andrade,Amy Weiss,Makenzie Kesler,San Jose State University,Abilene Christian,848,20180224
174,5,Breann Robinson,Summer Avery,Paris Cosley,Peyton Boutwell,San Jose State University,Abilene Christian,848,20180224
175,1,Emily Bible,Lindsey Knudsen,Maycie LaBass,Andie Shelton,Saint Mary's,Pacific,851,20180224
176,2,Morgan Hughes,Payton Rund,Taylor Poncetta,Hanne De Schrijver,Saint Mary's,Pacific,851,20180224
177,3,Sarah Chase,Mary Hernandez,Roni Long,Skylar Wine,Saint Mary's,Pacific,851,20180224
178,4,Lindsey Calvin,Kelsey Knudsen,Katrin Gotterba,Alex Holt,Pacific,Saint Mary's,851,20180224
179,5,Madi Wilkerson,Sienna Young,Ashlyn Fleming,Kaitlyn Lines,Saint Mary's,Pacific,851,20180224
180,1,Federica Frasca,Margherita Bianchin,Haven Hill,Cassie House,FIU,TCU,854,20180225
181,2,Anabela Sataric,Dorina Klinger,Hannah Rogers,Molly Scheel,FIU,TCU,854,20180225
182,3,Erika Zembyla,Lina Bernier,Jaelyn Greene,Jillian Bergeson,TCU,FIU,854,20180225
183,4,Estefanie  Bethancourt,Natalia Giron,Jensyn Bledsoe,Avery Arellano,FIU,TCU,854,20180225
184,5,Mariana Dal Pozzo,Erin Byrne,Brooke Sassin,Jordan Westendorf,FIU,TCU,854,20180225
185,1,Natalie Anselmo,Olivia Macdonald,Jacey Smith,Kendall Bosse,Arizona,Abilene Christian,855,20180225
186,2,Kacey Nady,Olivia Hallaran,Brooke Riley,Lauren Walker,Arizona,Abilene Christian,855,20180225
187,3,Candice Denny,Brooke Burling,Katelyn Mueller,Lexie Rawls,Arizona,Abilene Christian,855,20180225
188,4,Mia Mason,Jonny Baham,Amy Weiss,Makenzie Kesler,Arizona,Abilene Christian,855,20180225
189,5,Makenna Martin,Caroline Cordes,Eighmy Dobbins,Kennedy Shelstead,Arizona,Abilene Christian,855,20180225
190,1,Fernanda Vido,Lyndi Scholl,Kat McCullough,Jackie Woods,San Jose State University,Benedictine,856,20180225
191,2,Ciara Reistad,Julia Golbeck,Caitlan Sammons,Sydney Nelson,San Jose State University,Benedictine,856,20180225
192,3,Jamie Hirai,Hayley Sturgeon,Dani Burke,Megan Block,San Jose State University,Benedictine,856,20180225
193,4,Breann Robinson,Luiza Andrade,Kassandra Renteria,Anokina Mirzapour,San Jose State University,Benedictine,856,20180225
194,5,Summer Avery,Kaitlynn Zdroik,Hayden Boucher,Madison Peters,San Jose State University,Benedictine,856,20180225
195,1,Abril Bustamante,Terese Cannon,Kelly Hunter,Lauren Stivrins,USC,Nebraska,857,20180225
196,2,Sammy Slater,Haley Hallgren,Kenzie Maloney,Annika Albrecht,USC,Nebraska,857,20180225
197,3,Joy Dennis,Brianna Sizemore,Sami Slaughter,Jazz Sweat,USC,Nebraska,857,20180225
198,4,Jenna Belton,Jo Kremer,Hayley Densberger,Anezka Szabo,USC,Nebraska,857,20180225
199,5,Lainy Thomas,Cammie Dorn,Allie Havers,Jasmine Schmidt,USC,Nebraska,857,20180225
200,1,Kwyn Johnson,Mia Rivera,Lauren Stivrins,Kelly Hunter,Nebraska,ASU,858,20180225
201,2,Sydney Palmer,Kara  Woodard,Kenzie Maloney,Annika Albrecht,Nebraska,ASU,858,20180225
202,3,Ellyson Lundberg,Katelyn Carballo,Jazz Sweat,Sami Slaughter,ASU,Nebraska,858,20180225
203,4,Cierra Flood,Katie Cross,Chesney McClellan,Hayley Densberger,ASU,Nebraska,858,20180225
204,5,Samantha Plaster,Kate  Baldwin,Jasmine Schmidt,Allie Havers,ASU,Nebraska,858,20180225
205,1,Haven Hill,Cassie House,Gabby Love,Grace Convey,TCU,ULM,859,20180225
206,2,Molly Scheel,Hannah Rogers,Maile Sellers,Kayla Gallant,TCU,ULM,859,20180225
207,3,Jaelyn Greene,Jillian Bergeson,Catherine Griffith,Rebecca Brown,TCU,ULM,859,20180225
208,4,Avery Arellano,Jensyn Bledsoe,Allie Kemp,Bailey Smith,TCU,ULM,859,20180225
209,5,Claire Doyle,Jordan Westendorf,Holland Ponthieux,Taylor  Meyer,TCU,ULM,859,20180225
210,1,Nicole McNamara,Megan McNamara,Kathryn Plummer,Sunny Villapando,Stanford,UCLA,860,20180225
211,2,Lily Justine,Sarah Sponcil ,Amelia Smith,Morgan Hentz,UCLA,Stanford,860,20180225
