,division,college,first_name,last_name,mu,sigma
159,DI,Utah,Brianna,Doehrmann,15.524485735806314,4.765269593752556
160,DI,LSU,Hunter,Domanski,36.98709486935217,2.661749131072555
161,DI,FAU,Kaila,Dorish,26.704361683739965,3.193218579584157
162,DI,USC,Cammie,Dorn,32.69175649373801,3.6382492364093006
163,DI,LMU,Emma,Doud,34.92037249805211,2.79799891792527
164,DI,TCU,Claire,Doyle,15.987108987831267,4.176321336746923
165,DI,Washington,Samantha,Drechsel,22.332059872624782,4.102105932447227
166,DI,Hawaii,Paige,Dreeuws,34.88185852070611,2.912256760864848
167,DI,Central Arkansas,Delaney,Driver,26.680210496389556,3.5797526588283306
168,DI,Cal,Madison,Dueck,32.93300033024774,2.7556083567325764
169,DI,New Orleans,Blessings,Dunn,24.247857175956796,4.197535513980391
170,DI,Stetson,Darby,Dunn,44.69886340490416,3.4333758953162157
171,DI,Stetson,Lauren,Durham,34.05224718328609,3.781720306220972
172,DI,Pepperdine,Heidi,Dyer,39.703956712741245,2.8888652690941035
173,DI,Florida State,Ali,Eager,29.969898938358558,7.077139546442658
174,DI,South Carolina,Hannah,Edelman,30.113785688183206,5.050869825048593
175,DI,College of Charleston,Katja,Ehlers,36.2347711891855,3.4595313008985693
176,DI,ASU,Sierra,Ellett,22.879142625118174,7.524545165625641
177,DI,Georgia State,Allie,Elson,27.437707926923665,3.82384815680398
178,DI,Coastal Carolina,Kalin,Eske,12.89031382728101,5.501875523997281
179,DI,Florida State,Nikki,Esposito,27.12711462879059,7.697897616930865
180,DI,Tulane,Morgan,Esters,18.876050201248958,7.468913637819458
181,DI,UAB,Rachel,Evans,28.284920074898444,7.7155885806230895
182,DI,UNC Wilmington,Reagan,Evans,20.065886149415494,6.917046469792628
183,DI,South Carolina,Aubrey,Ezell,24.57355666904497,5.773059542881282
184,DI,"Cal State University, Sacramento",Sarah,Falk,13.333447342758658,5.885924437249973
185,DI,Morehead State,Maddie,Fella,15.51334161670168,6.52538030725121
186,DI,Pepperdine,Jordan,Ferrari,22.426805633390018,6.033897069594027
187,DI,LMU,McKayla,Ferris,42.58188125954044,3.138486610429704
188,DI,Pepperdine,Alexis,Filippone,39.23037388262837,3.4511322499994574
189,DI,Jacksonville,Cristina,Finan,23.605396730342264,4.708109004998441
190,DI,Missouri State,Caroline,Finnell,20.21463278266387,5.416293869250954
191,DI,Hawaii,Allyssah,Fitterer,30.648909839440183,6.2497026521112735
192,DI,Florida State,Madison,Fitzpatrick,30.489550125739843,4.197872135076201
193,DI,Texas A&M Corpus Christi,Madi,Fitzsimmons,23.80193422789758,4.306908981789027
194,DI,Pacific,Ashlyn,Fleming,20.85474028804496,3.639107785713424
195,DI,ASU,Cierra,Flood,27.129103926559047,3.1313523904072866
196,DI,Houston Baptist,Kali,Fluke,24.605886727531658,3.1425913265008334
197,DI,College of Charleston,Taylor,Foley,29.63210469012097,3.0875413059624863
198,DI,Stanford,Kate,Formico,37.59427081323263,2.834850216315181
199,DI,FIU,Federica,Frasca,47.81164079392593,3.2342727270217444
200,DI,Jacksonville State,Kayla,Frear,17.15641253880905,6.429622434109358
201,DI,College of Charleston,Lauren,Freed,31.565258767929784,3.1714612659504877
202,DI,Florida State,Vanessa,Freire,48.973395955835265,2.6447641049928077
203,DI,Missouri State,Taylor,Fricano,28.910656153689054,5.0947835734242
204,DI,FIU,Katie,Friesen,35.2216969246827,4.061708002164161
205,DI,Tulane,Rio,Frohoff,28.56042665021003,2.7156790067926337
206,DI,Austin Peay State,Cecily,Gable,27.637190072474763,4.1113864004495335
207,DI,Cal,Jessica,Gaffney,41.40288744377748,2.9025896284359676
208,DI,Santa Clara,Michelle,Gajdka,23.02992797615869,4.193503950054417
209,DI,ULM,Kayla,Gallant,30.766090701959918,3.587386910832334
210,DI,San Jose State University,Nandyala,Gama,33.29160409246949,3.9671835260363357
211,DI,Mercer,Gracie,Garanich,30.623894187385563,3.5709469060998797
212,DI,Washington,Kimmy,Gardiner,43.50646012024344,3.2978126774518413
213,DI,Cal State Bakersfield,Sarah,Garrow,28.75745629020831,3.676402692402223
214,DI,"Cal State University, Sacramento",Brie,Gathright,18.800501851823494,5.642072135472494
215,DI,Utah,Laura,Gauta,24.63704870509533,4.430585175215965
216,DI,Coastal Carolina,Tanner,Gauthier,25.59737938152947,4.6474876994843966
217,DI,Pepperdine,Katie,Gavin,29.317556631477334,6.530743612477924
218,DI,Austin Peay State,Ginny,Gerig,27.637190072474763,4.1113864004495335
219,DI,Mercer,Amber,Gibson,28.317907631568193,3.537363879475098
220,DI,Mercer,Elli,Gibson,21.960254532615096,4.031023210969775
221,DI,ASU,Frances,Giedraitis,24.96981187012746,5.057578907567221
222,DI,Santa Clara,Brittany,Gillingham,19.770559800821047,6.94349031370998
223,DI,FIU,Natalia,Giron,30.3973145616493,2.9633429647187217
224,DI,FGCU,Ashley,Glickert,34.094296815912884,3.8512752878563337
225,DI,San Jose State University,Julia,Golbeck,24.84372222263391,3.5959830434016196
226,DI,Florida State,Francesca,Goncalves,38.719176221554214,3.164926871442602
227,DI,Cal Poly SLO,Macy,Gordon,30.256160879148823,2.940070138058062
228,DI,Georgia State,Maddie,Gordon,21.795595299975652,5.292795098448875
229,DI,FAU,Sam,Gott,20.621990258984606,7.454232763304349
230,DI,Pacific,Katrin,Gotterba,34.911297740137435,3.4609903119688337
231,DI,Utah,Phoebe,Grace,23.602543131251476,7.656298623811637
232,DI,San Jose State University,Thaliana,Grajeda,26.79757058666493,4.0921078705533755
233,DI,FAU,Nicole,Grant,24.611853604840487,4.026732930480648
234,DI,USC,Tina,Graudina,58.86595714525147,3.406198059386443
235,DI,UNC Wilmington,Anna,Grauel,25.0,8.333333333333334
236,DI,Texas A&M Corpus Christi,Madison,Green,31.477513660052256,3.9461137607404217
237,DI,USC,Peri,Green,20.37025316309332,7.226047043462896
238,DI,TCU,Jaelyn,Greene,32.32553744354694,2.939178584645586
239,DI,Cal Poly SLO,Raeann,Greisen,35.725479704339655,2.837971562950124
240,DI,New Orleans,Kaitlyn,Grice,25.206843513925985,3.5404329032971154
241,DI,UNF,Taryn,Griffey,34.7020947250941,3.122156450291638
242,DI,ULM,Catherine,Griffith,32.57660243977663,3.603909560696842
243,DI,Cal Poly SLO,Brayden,Gruenewald,27.18418344558298,5.249957299166318
244,DI,Morehead State,Jessica,Hall,16.356018104027996,6.56163386840731
245,DI,Oregon,Marine,Hall-Poirier,20.81117903488073,5.099614092284871
246,DI,Arizona,Olivia,Hallaran,31.029017141261672,3.414634406345269
247,DI,USC,Haley,Hallgren,46.3228298421413,2.339247098269582
248,DI,Stetson,Lexi,Ham,21.874609504020817,7.512542445397529
249,DI,Central Arkansas,Colene,Hamilton,30.68145295626803,3.936965727835506
