division,compID,location,date,college,first_name,last_name,position,result,score
NAIA,805," Mesa, Az ",2018-02-23,Benedictine,Kassandra,Renteria,4,0,"21-10, 21-15"
NAIA,805," Mesa, Az ",2018-02-23,Benedictine,Anokina,Mirzapour,4,0,"21-10, 21-15"
DI,805," Mesa, Az ",2018-02-23,Nebraska,Jasmine,Schmidt,4,1,"21-10, 21-15"
DI,805," Mesa, Az ",2018-02-23,Nebraska,Allie,Havers,4,1,"21-10, 21-15"
NAIA,805," Mesa, Az ",2018-02-23,Benedictine,Hayden,Boucher,5,1,"21-15, 21-13"
NAIA,805," Mesa, Az ",2018-02-23,Benedictine,Madison,Peters,5,1,"21-15, 21-13"
DI,805," Mesa, Az ",2018-02-23,Nebraska,Anezka,Szabo,5,0,"21-15, 21-13"
DI,805," Mesa, Az ",2018-02-23,Nebraska,Hayley,Densberger,5,0,"21-15, 21-13"
DI,816," Phoenix, Az ",2018-02-23,Cal Poly SLO,Tia,Miric,1,0,"21-19, 18-21, 15-7"
DI,816," Phoenix, Az ",2018-02-23,Cal Poly SLO,Torrey,Van Winden,1,0,"21-19, 18-21, 15-7"
DI,816," Phoenix, Az ",2018-02-23,LSU,Claire,Coppola,1,1,"21-19, 18-21, 15-7"
DI,816," Phoenix, Az ",2018-02-23,LSU,Kristen,Nuss,1,1,"21-19, 18-21, 15-7"
DI,816," Phoenix, Az ",2018-02-23,Cal Poly SLO,Emily,Sonny,2,1,"21-10, 21-11"
DI,816," Phoenix, Az ",2018-02-23,Cal Poly SLO,Sam,Manley,2,1,"21-10, 21-11"
DI,816," Phoenix, Az ",2018-02-23,LSU,Haleigh,Nelson,2,0,"21-10, 21-11"
DI,816," Phoenix, Az ",2018-02-23,LSU,Mandi,Orellana,2,0,"21-10, 21-11"
DI,816," Phoenix, Az ",2018-02-23,Cal Poly SLO,Hannah,Hubbard,3,1,"31-29, 21-17"
DI,816," Phoenix, Az ",2018-02-23,Cal Poly SLO,Raeann,Greisen,3,1,"31-29, 21-17"
DI,816," Phoenix, Az ",2018-02-23,LSU,Olivia,Powers,3,0,"31-29, 21-17"
DI,816," Phoenix, Az ",2018-02-23,LSU,Maddie,Ligon,3,0,"31-29, 21-17"
DI,816," Phoenix, Az ",2018-02-23,Cal Poly SLO,Macy,Gordon,4,0,"21-14, 21-15"
DI,816," Phoenix, Az ",2018-02-23,Cal Poly SLO,Adlee,Van Winden,4,0,"21-14, 21-15"
DI,816," Phoenix, Az ",2018-02-23,LSU,Megan,Davenport,4,1,"21-14, 21-15"
DI,816," Phoenix, Az ",2018-02-23,LSU,Emmy,Allen,4,1,"21-14, 21-15"
DI,816," Phoenix, Az ",2018-02-23,Cal Poly SLO,Brayden,Gruenewald,5,0,"21-16, 15-21, 15-7"
DI,816," Phoenix, Az ",2018-02-23,Cal Poly SLO,Dora,Beilin,5,0,"21-16, 15-21, 15-7"
DI,816," Phoenix, Az ",2018-02-23,LSU,Gina,Tillis,5,1,"21-16, 15-21, 15-7"
DI,816," Phoenix, Az ",2018-02-23,LSU,Emily,Hardesty,5,1,"21-16, 15-21, 15-7"
DI,817," Phoenix, Az ",2018-02-23,Grand Canyon,Katie,Pyles,1,0,"21-18, 21-11"
DI,817," Phoenix, Az ",2018-02-23,Grand Canyon,Molly,Turner,1,0,"21-18, 21-11"
DI,817," Phoenix, Az ",2018-02-23,LSU,Kristen,Nuss,1,1,"21-18, 21-11"
DI,817," Phoenix, Az ",2018-02-23,LSU,Claire,Coppola,1,1,"21-18, 21-11"
DI,817," Phoenix, Az ",2018-02-23,Grand Canyon,Jessica,Stansfield,2,1,"21-17, 21-16"
DI,817," Phoenix, Az ",2018-02-23,Grand Canyon,Hannah,Towne,2,1,"21-17, 21-16"
DI,817," Phoenix, Az ",2018-02-23,LSU,Haleigh,Nelson,2,0,"21-17, 21-16"
DI,817," Phoenix, Az ",2018-02-23,LSU,Hunter,Domanski,2,0,"21-17, 21-16"
DI,817," Phoenix, Az ",2018-02-23,Grand Canyon,Bella,Baumann,3,0,"21-16, 21-15"
DI,817," Phoenix, Az ",2018-02-23,Grand Canyon,Taylor,Jarzombek,3,0,"21-16, 21-15"
DI,817," Phoenix, Az ",2018-02-23,LSU,Olivia,Powers,3,1,"21-16, 21-15"
DI,817," Phoenix, Az ",2018-02-23,LSU,Maddie,Ligon,3,1,"21-16, 21-15"
DI,817," Phoenix, Az ",2018-02-23,Grand Canyon,Madi,Relaz,4,0,"21-15, 21-14"
DI,817," Phoenix, Az ",2018-02-23,Grand Canyon,Natalie,Honzovicova,4,0,"21-15, 21-14"
DI,817," Phoenix, Az ",2018-02-23,LSU,Megan,Davenport,4,1,"21-15, 21-14"
DI,817," Phoenix, Az ",2018-02-23,LSU,Emmy,Allen,4,1,"21-15, 21-14"
DI,817," Phoenix, Az ",2018-02-23,Grand Canyon,Jessica,Clark,5,1,"21-13, 21-13"
DI,817," Phoenix, Az ",2018-02-23,Grand Canyon,Katie,Sarber,5,1,"21-13, 21-13"
DI,817," Phoenix, Az ",2018-02-23,LSU,Gina,Tillis,5,0,"21-13, 21-13"
DI,817," Phoenix, Az ",2018-02-23,LSU,Emily,Hardesty,5,0,"21-13, 21-13"
DI,818," Phoenix, Az ",2018-02-23,Cal Poly SLO,Torrey,Van Winden,1,1,"21-18, 11-21, 15-11"
DI,818," Phoenix, Az ",2018-02-23,Cal Poly SLO,Tia,Miric,1,1,"21-18, 11-21, 15-11"
DI,818," Phoenix, Az ",2018-02-23,Pepperdine,Madalyn,Roh,1,0,"21-18, 11-21, 15-11"
DI,818," Phoenix, Az ",2018-02-23,Pepperdine,Brook,Bauer,1,0,"21-18, 11-21, 15-11"
DI,818," Phoenix, Az ",2018-02-23,Cal Poly SLO,Sam,Manley,2,1,"23-21, 14-21, 15-13"
DI,818," Phoenix, Az ",2018-02-23,Cal Poly SLO,Emily,Sonny,2,1,"23-21, 14-21, 15-13"
DI,818," Phoenix, Az ",2018-02-23,Pepperdine,Deahna,Kraft,2,0,"23-21, 14-21, 15-13"
DI,818," Phoenix, Az ",2018-02-23,Pepperdine,Corinne,Quiggle,2,0,"23-21, 14-21, 15-13"
DI,818," Phoenix, Az ",2018-02-23,Cal Poly SLO,Raeann,Greisen,3,0,"23-25, 21-17, 15-8"
DI,818," Phoenix, Az ",2018-02-23,Cal Poly SLO,Hannah,Hubbard,3,0,"23-25, 21-17, 15-8"
DI,818," Phoenix, Az ",2018-02-23,Pepperdine,Gigi,Hernandez,3,1,"23-25, 21-17, 15-8"
DI,818," Phoenix, Az ",2018-02-23,Pepperdine,Heidi,Dyer,3,1,"23-25, 21-17, 15-8"
DI,818," Phoenix, Az ",2018-02-23,Cal Poly SLO,Adlee,Van Winden,4,0,"21-11, 21-19"
DI,818," Phoenix, Az ",2018-02-23,Cal Poly SLO,Brayden,Gruenewald,4,0,"21-11, 21-19"
DI,818," Phoenix, Az ",2018-02-23,Pepperdine,Alexis,Filippone,4,1,"21-11, 21-19"
DI,818," Phoenix, Az ",2018-02-23,Pepperdine,Skylar,Caputo,4,1,"21-11, 21-19"
DI,818," Phoenix, Az ",2018-02-23,Cal Poly SLO,Macy,Gordon,5,1,"21-18, 21-19"
DI,818," Phoenix, Az ",2018-02-23,Cal Poly SLO,Heather,Pembroke,5,1,"21-18, 21-19"
DI,818," Phoenix, Az ",2018-02-23,Pepperdine,Jordan,Ferrari,5,0,"21-18, 21-19"
DI,818," Phoenix, Az ",2018-02-23,Pepperdine,Maddie,Dilfer,5,0,"21-18, 21-19"
