,division,rank,name,rating,playerid,college,primary position,date
580,DI,581,Brie Gathright,22.69420039385664,626,"Cal State University, Sacramento",1,2018-03-10
581,DI,582,Kaitlynn Zdroik,22.678677069255624,428,San Jose State University,4,2018-04-07
582,DI,583,Maddie Gordon,22.672793586292578,458,Georgia State,5,2018-04-15
583,DI,584,Lexi Ham,22.66522408092824,944,Stetson,4,2018-03-24
584,DI,585,Carly Beddingfield,22.624402350149953,332,New Mexico,4,2018-04-21
585,DI,586,Sara Watanabe,22.607529727748503,2110,Arizona,5,2018-04-14
586,DI,587,Emilee Wissmach,22.60033918533788,1288,Mercer,5,2018-04-07
587,DI,588,Marine Hall-Poirier,22.57894363227501,170,Oregon,5,2018-04-26
588,DI,589,Kyra Hanawahine,22.57894363227501,1445,Oregon,5,2018-04-26
589,DI,590,Shelby Holmes,22.27943443855941,1240,Central Arkansas,5,2018-04-22
590,DI,591,Mackenzie Dear,22.279434438559406,360,Central Arkansas,5,2018-04-22
591,DI,592,Hannah Sorensen,22.23887609073958,997,South Carolina,5,2018-02-23
592,DI,593,Alex Kells,22.196512910021966,1374,UAB,4,2018-03-24
593,DI,594,Jess Vastine,22.187260588719372,1211,South Carolina,5,2018-04-22
594,DI,595,Kaylee Taff,22.181365151933328,656,Austin Peay State,5,2018-04-20
595,DI,596,Lela Mcintosh,22.105083720050768,351,Mercer,4,2018-04-21
596,DI,597,Allie Kemp,22.08141299927519,1634,ULM,4,2018-04-14
597,DI,598,Halle Parker,22.064468575112603,1205,ASU,2,2018-04-06
598,DI,599,Shelby Ladewig,22.049279315767652,821,Coastal Carolina,3,2018-04-14
599,DI,600,Emily Nenninger,22.046512453916474,1297,New Mexico,5,2018-04-20
600,DI,601,Jordan Ferrari,21.982554755325317,974,Pepperdine,5,2018-03-11
601,DI,602,Annie Pringle,21.884553429139288,1376,UAB,5,2018-04-21
602,DI,603,Marissa Rogers,21.873586807164934,1028,UNF,5,2018-03-03
603,DI,604,Forfeit 2,21.666252357564666,2114,Jacksonville,5,2018-04-07
604,DI,605,Forfeit 1,21.666252357564666,2113,Jacksonville,5,2018-04-07
605,DI,606,Kyla Manning,21.506414001915186,2077,Coastal Carolina,4,2018-04-14
606,DI,607,Maggie Scott,21.479630135043106,175,Oregon,4,2018-04-26
607,DI,608,Ronika Stone,21.479630135043106,803,Oregon,4,2018-04-26
608,DI,609,Drew Hanneman,21.445295370975256,1219,Boise State,5,2018-03-10
609,DI,610,Cassedi Simon,21.445295370975256,261,Boise State,5,2018-03-10
610,DI,611,Ivy Reynolds,21.431213660414183,1659,Missouri State,5,2018-04-14
611,DI,612,Lynsey Wright,21.431213660414183,1661,Missouri State,5,2018-04-14
612,DI,613,Liz Reich,21.35448850322585,1317,Portland,5,2018-04-20
613,DI,614,Alexa Van Komen,21.322420684508028,1134,Utah,5,2018-04-19
614,DI,615,Olivia Rook,21.08429920424129,1875,Texas A&M Corpus Christi,4,2018-04-20
615,DI,616,Courtney VanLiew,21.051588081197742,1245,FGCU,5,2018-04-22
616,DI,617,Kaity Bailey,21.049410780302306,214,Pepperdine,5,2018-02-28
617,DI,618,Bethany Randall,21.00398113932935,1276,Jacksonville State,4,2018-04-15
618,DI,619,Karlee Reynolds,20.87705178490793,682,Morehead State,3,2018-04-20
619,DI,620,Alyssa Cecil,20.87705178490793,677,Morehead State,3,2018-04-20
620,DI,621,Sam Gott,20.857063162828073,798,FAU,4,2018-03-17
