,Name,Year,Height,Hometown/HS,Team,mu,sigma
142,Jayda Howard,So,6'0,"La Jolla, Ca",Cal,25.0,8.333333333333334
143,Jessica Gaffney,Sr,6'1,"Temecula, Ca",Cal,43.38579566465136,1.9932270183499219
144,Karina Langli,Jr,5'10,"Encinitas, Ca",Cal,25.0,8.333333333333334
145,Mackenzie Feldman,Sr,5'6,"Honolulu, Hi",Cal,25.0,8.333333333333334
146,Maddie Micheletti,Fr,5'9,"Manhattan Beach, Ca",Cal,43.42449014134431,2.023732267234736
147,Madison Dueck,So,5'9,"Santa Cruz, Ca",Cal,31.300113961837276,2.718867490932981
148,Mia Merino,Jr,5'7,"Tustin, Ca",Cal,31.300113961837276,2.718867490932981
149,Mima Mirkovic,Fr,5'11,"Irvine, Ca",Cal,43.38579566465136,1.9932270183499219
150,Olivia Rodberg,Jr,5'9,"Manhattan Beach, Ca",Cal,25.0,8.333333333333334
151,Teya Neff,Sr,6'0,"Novato, Ca",Cal,25.0,8.333333333333334
152,Adore Anae,Sr,6'1,"Laei, Hi",Utah,37.175201417237545,2.1238521062633904
153,Alexa Van Komen,Fr,5'8,"El Dorado Hills, Ca",Utah,40.23382843162281,2.088947496830355
154,Bailey Choy,So,5'9,"Honolulu, Hi",Utah,36.2214935859719,2.1238521062633904
155,Berkeley Oblad,Jr,6'4,"Henderson, Nv",Utah,36.86002918162257,2.1238521062633904
156,Brianna Doehrmann,So,5'7,"Murrieta, Ca",Utah,37.54027103834768,2.1604329520970493
157,Camryn  Machado,Fr,5'9,"Cardiff by the Sea, Ca",Utah,25.0,8.333333333333334
158,Carly Trueman,Sr,6'1,"Tucson, Az",Utah,25.0,8.333333333333334
159,Dani Barton,So,6'0,"Sandy, Ut",Utah,37.175201417237545,2.1238521062633904
160,Eliza Katoa,Sr,5'10,"Layton, Ut",Utah,25.0,8.333333333333334
161,Emily Twohig,Jr,5'9,"Boise, Id",Utah,25.0,8.333333333333334
162,Kenzie Koerber,Fr,6'3,"Chino Hills, Ca",Utah,39.85246120485915,2.1238521062633904
